FID,MUNICUID,MUNICID,NAME,FIPSCODE,CREATEDBY,CREATEDDATE,MODIFIEDBY,MODIFIEDDATE,SHAPE_Length,SHAPE_Area
123,50,13,BAY HARBOR ISLANDS,1203975,,,,,6962.025815,1274912.684
124,43,6,NORTH MIAMI,1249450,,,,,1616.740397,82192.31755
125,94,1,MIAMI,1245000,,,,,699.4690493,12219.99403
126,88,1,MIAMI,1245000,,,,,783.1117178,38942.28788
127,169,30,UNINCORPORATED MIAMI-DADE,,,,,,2228.110272,20591.49265
128,121,1,MIAMI,1245000,,,,,2783.856872,150837.5761
129,86,1,MIAMI,1245000,,,,,832.3819131,15483.31344
130,120,1,MIAMI,1245000,,,,,205.6217875,2999.098113
131,173,30,UNINCORPORATED MIAMI-DADE,,,,,,419.1112847,3238.550674
132,66,11,MIAMI SHORES,1245175,,,,,129.397019,820.5745917
133,135,9,SOUTH MIAMI,1267550,RUIZJ,5/30/2008 11:23,,,15842.01767,6807098.482
134,171,10,HOMESTEAD,1232275,ruizj,6/11/2009 9:07,,,46961.50711,49742737.27
135,96,2,MIAMI BEACH,1245025,,,,,556.3912129,20071.97193
136,18,32,MIAMI LAKES,1245100,,,,,19965.78061,20862538.61
137,92,1,MIAMI,1245000,,,,,729.7569403,13648.4874
138,163,30,UNINCORPORATED MIAMI-DADE,,,,,,189.9981525,1507.956804
139,162,30,UNINCORPORATED MIAMI-DADE,,,,,,209.7001531,1920.309199
140,71,30,UNINCORPORATED MIAMI-DADE,,,,,,3887.130419,623072.7426
141,54,30,UNINCORPORATED MIAMI-DADE,,,,,,7036.096328,2383620.69
142,4,30,UNINCORPORATED MIAMI-DADE,,nba,7/28/2010 13:06,,,38096.18168,24371246.04
143,72,18,EL PORTAL,1220650,ruizj,7/11/2014 12:42,,,6755.75715,1336841.239
144,75,1,MIAMI,1245000,ruizj,7/11/2014 12:42,,,121628.3245,112500427.5
145,11,30,UNINCORPORATED MIAMI-DADE,,ruizj,4/4/2013 16:25,,,26795.14801,16163155.44
146,7,7,NORTH MIAMI BEACH,1249475,nba,7/28/2010 13:06,,,48930.42427,16994450.03
147,145,20,PINECREST,1256625,ruizj,6/16/2009 14:03,,,22662.20856,24098617.3
148,57,6,NORTH MIAMI,1249450,,,,,581.0371408,17635.48122
149,93,26,VIRGINIA GARDENS,1274575,,,,,4785.719667,918026.7505
150,39,31,SUNNY ISLES BEACH,1269555,,,,,153.9128109,1511.015865
151,47,6,NORTH MIAMI,1249450,,,,,259.5587723,4636.669539
152,19,4,HIALEAH,1230000,ruizj,5/30/2008 11:44,,,57477.13738,73329610.5
153,16,31,SUNNY ISLES BEACH,1269555,,,,,60.73702573,251.1444209
154,59,11,MIAMI SHORES,1245175,nba,12/16/2008 15:49,,,16652.75777,8090686.592
155,186,30,UNINCORPORATED MIAMI-DADE,,,,,,354.4189782,4698.206887
156,114,30,UNINCORPORATED MIAMI-DADE,,,,,,656.2334777,17699.13955
157,36,31,SUNNY ISLES BEACH,1269555,,,,,37.46920901,98.74729869
158,52,6,NORTH MIAMI,1249450,,,,,278.428238,3309.380127
159,21,27,HIALEAH GARDENS,1230025,,,,,27394.66095,11799821.54
160,119,1,MIAMI,1245000,,,,,1160.682524,81313.0766
161,132,9,SOUTH MIAMI,1267550,,,,,131.2562064,897.0703748
162,153,3,CORAL GABLES,1214250,,,,,266.509425,4496.107996
163,160,30,UNINCORPORATED MIAMI-DADE,,,,,,139.5069512,1290.959223
164,23,31,SUNNY ISLES BEACH,1269555,,,,,61.41816635,223.4495864
165,148,3,CORAL GABLES,1214250,,,,,1729.790265,105766.8909
166,139,1,MIAMI,1245000,,,,,1458.5156,46957.46586
167,183,30,UNINCORPORATED MIAMI-DADE,,,,,,1535.509048,41860.11392
168,113,30,UNINCORPORATED MIAMI-DADE,,,,,,322.0724774,4766.97023
169,110,30,UNINCORPORATED MIAMI-DADE,,,,,,292.6017703,4852.934489
170,158,30,UNINCORPORATED MIAMI-DADE,,,,,,167.3522658,335.9264862
171,167,30,UNINCORPORATED MIAMI-DADE,,,,,,590.3347249,3637.028674
172,85,22,MEDLEY,1243900,,,,,1117.349656,50246.31368
173,1,30,UNINCORPORATED MIAMI-DADE,,ruizj,7/11/2014 11:39,,,782923.9017,5496545126
174,78,35,DORAL,1217935,ruizj,7/11/2014 11:40,,,32328.73513,48009085.83
175,95,25,SWEETWATER,1270345,ruizj,7/11/2014 11:39,,,16351.09173,7627103.159
176,170,30,UNINCORPORATED MIAMI-DADE,,ruizj,5/16/2012 9:12,,,8459.099154,2087259.612
177,122,1,MIAMI,1245000,,,,,226.83861,2164.786396
178,130,1,MIAMI,1245000,,,,,745.0474307,11890.6947
179,56,17,BISCAYNE PARK,1206600,ruizj,5/30/2008 11:45,,,6150.121264,2044035.379
180,128,9,SOUTH MIAMI,1267550,,,,,147.8663516,946.4197767
181,155,30,UNINCORPORATED MIAMI-DADE,,,,,,1924.537233,31869.8504
182,182,30,UNINCORPORATED MIAMI-DADE,,ruizj,5/16/2012 9:12,,,5475.298257,596312.5198
183,30,31,SUNNY ISLES BEACH,1269555,,,,,30.26070661,69.30440285
184,63,2,MIAMI BEACH,1245025,ruizj,5/30/2008 11:44,,,104368.5025,23677819.12
185,185,30,UNINCORPORATED MIAMI-DADE,,RUIZJ,5/30/2008 11:20,,,2550.706079,151013.5485
